Ruta,OperadOR,ac_type,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,Año_colision,mes_colision,nuevo_id
"Waalhaven, Netherlands",KLM Royal Dutch Airlines,Fokker (KLM) F.III,6,5,1,1,1,0,0,1928,7,4591
"Near Port Townsend, BC, Canada",British Columbia Airways,Ford 4-AT-B Tri Motor,7,5,2,7,5,2,0,1928,8,4590
"Toul, France",CIDNA,Bleriot Spad 33,5,2,3,5,2,3,0,1928,9,4589
"Adelaide Hills, Australia",Qantas,de Havilland DH.50J,2,0,2,1,0,1,0,1928,9,4588
"Pocatello, Idaho",National Parks Airways,Fokker Super Universal,7,6,1,7,6,1,0,1928,9,4587
"Heroldbach, Germany",Deutsche Lufthansa,Fokker FG III,3,2,1,3,2,1,0,1928,9,4586
"Gerona, Spain",Aeropostale,Breguet 14,3,2,1,3,2,1,0,1928,10,4585
"Polk, Pennsylvania",National Air Transport,Douglas M-4,1,0,1,1,0,1,0,1928,10,4584
"Valence, France",Air Union,Bleriot Spad 56,2,1,1,1,0,1,0,1928,10,4583
"Edgerton, Ohio",Universal Airlines,Hamilton H-47,3,2,1,3,2,1,0,1928,11,4582
"Edgerton, Ohio",Continental Air Lines,Travel Air 4000,1,0,1,1,0,1,0,1928,11,4581
"Bristolville, Ohio",National Air Transport,Douglas M-4,1,0,1,1,0,1,0,1928,11,4580
"Spur, Texas",Sunbeam Air Transport Co.,Ford 4-AT-B Tri Motor,5,4,1,5,4,1,0,1928,12,4579
"Near Rio de Janeiro,Brazil",Syndicato Condor,Dornier Wal,14,9,5,14,9,5,0,1928,12,4578
"Spokan, Washington",Spokane Airways,Ford Tri-motor 4,5,3,2,5,3,2,0,1928,12,4577
"Letzlingen, Germany",Deutsche Lufthansa,Junkers G-31,4,1,3,3,0,3,0,1928,12,4576
"Huron, Ohio",National Air Transport,Douglas M-4,1,0,1,1,0,1,0,1928,12,4575
"Chattanooga, Tennessee",Interstate Airlines,Fairchild FC-2,4,3,1,4,3,1,0,1928,12,4574
"Reims, France",CIDNA,Blériot Spad 66,3,2,1,2,2,0,0,1928,12,4573
"Stafford Springs, Connecticut",Colonial Air Transport,Fairchild FC-2,1,0,1,1,0,1,0,1929,1,4572
"Cove, Oregon",Varney Air Lines,Stearman C-38,1,0,1,1,0,1,0,1929,1,4571
"Near Corfu, Greece",Aeroespresso,CMASA Wal,9,7,2,2,7,2,0,1929,1,4570
Off Morocco,Aeropostale,Latecoere 26,2,0,2,2,0,2,0,1929,1,4569
"Morgantown, West Virginia",Skyline Transportation Company,Travel Air 4000,1,0,1,1,0,1,0,1929,1,4568
"Newark, New Jersey",Colonial Western Airlines,Ford 5-AT-B Tri Motor,15,13,2,14,13,1,0,1929,3,4567
"Near Beaumont, California",New Standard Airlines,Fokker F-VIIA,4,3,1,4,3,1,0,1929,3,4566
"San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,Ford 5-AT-B Tri-Motor / B-PW-9D,6,3,3,6,3,3,0,1929,4,4565
"Tampico, Mexico",Mexicana,Ford Tri-motor 4,5,4,1,5,4,1,0,1929,5,4564
"Tököl,  Pest Hungary",MALERT,Fokker F-III,2,0,2,2,0,2,0,1929,5,4563
Algiers,Aeropostale,Cams 53,6,3,3,4,3,2,0,1929,5,4562
"Santiago de Cuba, Cuba",Pan American Airways,Fokker F-X,5,1,4,2,1,1,0,1929,6,4561
"Barcelona, Spain",Aeropostale,Breguet 14,2,0,2,1,0,1,0,1929,6,4560
"Off Dungeness, England",Imperial Airways,Handley Page W-10,13,11,2,7,7,0,0,1929,6,4559
"St. Paul, Minnesota",Northwest Orient Airlines,Ford 5-AT-B Tri-Motor,8,6,2,1,0,1,0,1929,6,4558
"Near Lindau, Bavaria, Germany",Bodensee Aerolloyd,Domier Delphin III (flying boat),5,4,1,5,4,1,0,1929,6,4557
"Columbus, Ohio",Continental Air Lines,Travel Air 4000,1,0,1,1,0,1,0,1929,6,4556
"Clovis, New Mexico",Middle States Airlines,Lockheed 5 Vega,4,2,2,4,2,2,0,1929,8,4555
"Sochi, Russia",Ukvozduchput,Kalinin K-4,1,0,1,1,0,1,0,1929,8,4554
"Elm, Germany",Deutsche Lufthansa,Fokker FG II,5,4,1,4,3,1,0,1929,8,4553
"Needles, California",Associated Aviators,Lockheed Vega,2,0,2,1,0,1,0,1929,9,4552
"Mt. Taylor, near Grants, New Mexico",Trans Continental Air Transport,Ford 5-AT-B Tri Motor,8,5,3,8,5,3,0,1929,9,4551
"Jask, Iran",Imperial Airways,de Havilland DH-66 Hercules,5,2,3,3,1,2,0,1929,9,4550
North Atlantic Ocean,Aeropostale,Latecoere 25,6,4,2,6,4,2,0,1929,9,4549
"Saint Catharines, Ontario",Skyways,Travel Air 6000,6,5,1,6,5,1,0,1929,9,4548
"Mt Lamentation, Connecticut",Colonial Air Transport,Pitcairn PA-6 Mailwing,1,0,1,1,0,1,0,1929,9,4547
"Off Larache, Morocco",Aeropostale,Latecoere 25-3-R,5,3,2,5,3,2,0,1929,9,4546
"Jacumba, California",Pickwick Airways,Fairchild 71,2,0,2,1,0,1,0,1929,9,4545
"Off Spezia, Italy",Imperial Airways,Short Calcutta (flying boat),7,5,2,7,5,2,0,1929,10,4544
"Mount Vernon, Ohio",Continental Air Lines,Stearman C-38,1,0,1,1,0,1,0,1929,10,4543
"Off Bremerton, Washington",Bremerton-Seattle Air Taxi / Gorst Air Lines,Loening C-2C,2,0,2,2,0,2,0,1929,10,4542
"Cerro del Carbon, Mexico",Corp. Aeronautica de Transportes,Lockheed Vega 5,4,3,1,4,3,1,0,1929,11,4541
"Near Godstone, Surrey, England",Deutsche Lufthansa,Junkers G-24,8,4,4,7,3,4,0,1929,11,4540
"Off Corsica, France",Air Union,Liore et Olivier 190,3,0,3,3,0,3,0,1929,11,4539
"Terranova Pausania, East Sardinia",S.A.M. Società Aerea Mediterranea,Savoia Marchetti S55,12,9,3,1,1,0,0,1929,11,4538
"Vancouver, Washington",Varney Air Lines,Stearman M-2 Speedmail,1,0,1,1,0,1,0,1929,11,4537
"Chagrin Falls, Ohio",National Air Transport,Douglas M-3,1,0,1,1,0,1,0,1929,12,4536
"Near Berlin, Germany",Deutsche Lufthansa,Arado V1,3,0,2,2,0,2,0,1929,12,4535
"Amarillo, Texas",Trans Continental Air Transport,Travel Air B6000,5,3,2,5,3,2,0,1929,12,4534
"Brawnson, Nebraska",Boeing Air Transport,Boeing 95,1,0,1,1,0,1,0,1930,1,4533
"Antananarivo, Madagascar",Air Orient,Farman 190,3,0,3,3,0,3,0,1930,1,4532
"Oceanside, California",Maddux Airlines,Ford 5-AT-C Tri Motor,16,14,2,16,14,2,0,1930,1,4531
"Off Ceuta, Spain",Aeropostale,Latecoere 25,2,0,2,2,0,2,0,1930,1,4530
"Kansas City, Missouri",Central  Airlines (Universal Aviation Corporation),Travel Air A6000A,5,4,1,5,4,1,0,1930,1,4529
"Hartford, Connecticut",Colonial Air Transport,Pitcairn PA-6 Mailwing,1,0,1,1,0,1,0,1930,2,4528
"Marden, England",Air Union,Farman F-63,6,3,3,2,2,0,0,1930,2,4527
"Jersey City, New Jersey",Canadian Colonial Airways,Fairchild 71,4,3,1,4,3,1,0,1930,4,4526
"Buenos Aires, Argentina",Aeropostale,Latecoere 28,4,2,2,3,1,2,0,1930,5,4525
"Boston, Massachusetts",Colonial Air Transport,Ford Tri-Motor 5,15,13,2,1,1,0,0,1930,6,4524
"Bornholm, Denmark",Deutsche Lufthansa,Dornier Wal,8,5,3,5,4,1,0,1930,7,4523
"Arkansas Pass, Texas",Cross Airways,Lockheed Vega 5,5,4,1,5,4,1,0,1930,7,4522
"Near Meopham, Kent, England",Walcot Air Line,Junkers F-13ge,6,4,2,6,4,2,0,1930,7,4521
"Iglau, Czechoslovakia",Ceskoslovenske Aerolinie,Ford 5-AT-C Tri Motor,11,10,1,10,9,1,0,1930,8,4520
"Croydon, England",Sabena,Sabca F-VII,2,0,2,2,0,2,0,1930,9,4519
"Edmonton, Alberta, Canada",Western Canada Airways,Boeing 40,3,2,1,3,2,1,0,1930,9,4518
"Dresden, Germany",Deutsche Lufthansa,Messerschmitt M-20B,8,6,2,8,6,2,0,1930,10,4517
"La Rache, Morocco",Aeropostale,Latecoere 28,4,3,1,4,3,1,0,1930,10,4516
"Prince Rupert, BC, Canada",Alaska-Washington Airways,Lockheed Vega,3,2,1,3,2,1,0,1930,10,4515
"Near Neufchatel, France",Imperial Airways,Handley Page W-8,6,3,3,3,2,1,0,1930,10,4514
"Brookston, Indiana",Embry Riddle Company,Pitcairn PA-6 Mailwing,1,0,1,1,0,1,0,1930,10,4513
"Off of Santos, Brazil",Syndicato Condor,Junkers G-24,9,8,1,1,1,0,0,1930,11,4512
"Shanghai, China",China National Aviation Corporation,Loening C-W Air Yaht,6,4,2,4,2,2,0,1930,12,4511
"Melle, Belgium",Sabena,Fokker F-VII,2,0,2,2,0,2,0,1931,1,4510
"Bluff Mountain, Washington",Varney Air Lines,Boeing 40,1,0,1,1,0,1,0,1931,1,4509
"Wairoa, New Zealand",Dominion Air Lines,Desoutter II,3,2,1,3,2,1,0,1931,2,4508
"Bagot, Manitoba, Canada",Western Canada Airways,Fokker Universal F-14,3,2,1,2,2,0,0,1931,2,4507
Off Spain,Aeropostale,Latecoere 32,3,0,3,1,0,1,0,1931,2,4506
"New South Wales, Australia",Australian National Airways,Avro 10,8,6,2,8,6,2,0,1931,3,4505
"Bazaar, Kansas",Trans Continental and Western Air,Fokker F10A Trimotor,8,6,2,8,6,2,0,1931,3,4504
"Near Letschen, Germany",Deutsche Lufthansa,Messerschmitt M-20,10,7,3,2,0,2,0,1931,4,4503
"Burbank, California",Pacific Air Transport,Boeing 40,2,0,2,2,0,2,0,1931,5,4502
"Wampit, Australia",Guiena Airways,Junkers W-34,1,0,1,1,0,1,0,1931,5,4501
