Ruta,OperadOR,ac_type,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,Año_colision,mes_colision,nuevo_id
"Near Palmerston North, New Zealand",Ansett New Zealand,de Havilland Canada DHC-8-102,21,18,3,5,4,1,0,1995,6,1010
"Herputchi, Russia",Aeroflot,Antonov AN-2,14,12,2,13,11,2,0,1995,6,1009
"Near Cuvela, Angola",Military - Angolan Air Force,CASA 212-200 Aviocar,48,45,3,48,45,3,0,1995,6,1008
"Lagos, Nigeria",Harka Air Services,Tupolev TU-134A,80,74,6,16,16,0,0,1995,6,1007
"La Romana, Dominican Republic",Salair,Convair CV-440,2,0,2,2,0,2,0,1995,6,1006
"Kiunga, Papua New Guinea",Garamut Aviation,de Havilland Canada C-7A Caribou,3,1,2,3,1,2,0,1995,7,1005
"Gumey, Papua New Guinea",Milne Bay Air,de Havilland Canada DHC-6 Twin Otter 300,15,13,2,15,13,2,0,1995,7,1004
"Bintuni,  Indonesia",Merpati Nusantara Airlines,de Havilland Canada DHC-6 Twin Otter 300,18,16,2,1,0,1,0,1995,7,1003
"Near Antananivo, Madagascar",Military - Madagascar Air Force,Douglas C-47A,34,29,5,34,29,5,0,1995,7,1002
"Near Karamui, Papua New Guinea",Transniugini Airways,Britten-Norman BN-2A Islander,2,1,1,2,1,1,0,1995,7,1001
"Johannesburg, South Africa",Aero Air,Antonov An-2R,3,0,3,3,0,3,0,1995,8,1000
"Near Kaimana, Indonesia",Bourag Indonesia Airlines,Hawker Siddeley HS-748 2A,10,6,4,10,6,4,0,1995,8,999
"Mt. Chichontepec, San Vincente, El Salvador",Aviateca,Boeing B-737-2H6,65,58,7,65,58,7,0,1995,8,998
"Nevada del Huila, Colombia",AIRES Colombia,Embraer 110P1 Bandeirante,10,8,2,10,8,2,0,1995,8,997
"Near Carrollton, Georgia",Atlantic Southeast Airlines,Embraer 120-RT Brasilia,29,26,3,10,9,1,0,1995,8,996
"Near Farewell, Alaska",North Star Air Cargo,Shorts SC-7 Skyvan,1,0,1,1,0,1,0,1995,9,995
"Beaver Dam, Arizona",Adventure Airlines,Cessna 421C Golden Eagle,8,7,1,8,7,1,0,1995,9,994
"Toronto, Ontario, Canada",Military - Royal Air Force,British Aerospace Nimrod MR-2P,7,0,7,7,0,7,0,1995,9,993
"Near La Macarena, Colombia",SAETA,CASA 212 Aviocar 200,22,18,4,21,17,4,0,1995,9,992
"Jalalabad, Afghanistan",Ariana Afghan Airlines,Antonov AN-26B,51,44,7,3,3,0,0,1995,9,991
"Off Colombo, Sri Lanka",Military - Sri Lanka Air Force,Antonov AN-32,81,76,5,81,76,5,0,1995,9,990
"Tawau,  Malaysia",Malaysia Airlines,Fokker 50,53,49,4,34,32,2,0,1995,9,989
"Near Moron, Mongolia",MIAT - Mongolian Airlines,Antonov AN-24RV,43,37,6,42,36,6,0,1995,9,988
"Anchorage, Alaska",Military - U.S. Air Force,Boeing B-707 (E-3B),24,20,4,24,20,4,0,1995,9,987
"Sterligov Cape, Russia",Norilsk Flight Company,Mil Mi-8T,15,10,5,15,10,5,0,1995,9,986
"Campbell River, British Columbia, Canada",Western Straits Air,De Havilland Dash-3,10,9,1,8,7,1,0,1995,9,985
"Gunung Antara, Indonesia",Sabang Merauke Raya Air Charter,CASA 212,14,12,2,1,0,1,0,1995,10,984
"Barskoon, Kirghizia",Kirghizia Aba Zaoldoru,Mil Mi-8MTV-1,15,12,3,15,12,3,0,1995,10,983
"Near Luyaba, Argentina",Military - Argentine Air Force,Fokker F-27 Friendship 500,53,48,5,53,48,5,0,1995,11,982
"Kaduna, Nigeria",Nigeria Airways,Boeing B-737-2F9,137,129,8,9,9,0,0,1995,11,981
"Off Jaffna Peninsula , Sri Lanka",Military - Sri Lanka Air Force,Antonov AN-32,63,57,6,63,57,6,0,1995,11,980
"Off Labuan, Malaysia",Sabah Air,Bell 412 (helicopter),10,8,2,10,8,2,0,1995,11,979
"Baku, Azerbaijan",Azerbaijan Airlines,Boeing 707-323C,6,0,6,2,0,2,0,1995,11,978
"Near Douala, Cameroon",Cameroon Airlines,Boeing B-737-2K9,78,72,6,72,68,4,0,1995,12,977
"Near Nakhichevan, Azerbaijan, Russia",Azerbaijani Airlines,Tupolev TU-134B-3,82,76,6,54,52,2,0,1995,12,976
"Near Grossevichi, Russia",Far East Aviation,Tupolev TU-154B,98,90,8,98,90,8,0,1995,12,975
"Verona  - Villafranca, Italy",Romanian Banat Air,Antonov AN-24B,49,41,8,49,41,8,0,1995,12,974
"Cahungula, Angola",Trans Service Airlift,Lockheed L-188C Electra,144,139,5,141,137,4,0,1995,12,973
"Near Buga, Valle del Cauca, Colombia",American Airlines,Boeing B-757-223,164,156,8,160,152,8,0,1995,12,972
"Bagasin, Papua New Guinea",Island Airways,Britten Norman BN-2A-21 Trislander,12,11,1,2,1,1,0,1995,12,971
"Off Bridgetown, Barbados",Mustique Airways,Britten-Norman BN-2A-27 Islander,10,9,1,1,1,0,0,1996,1,970
"Kinshasa, Zaire",African Air,Antonov AN-32B,6,0,6,2,0,2,225,1996,1,969
"Near Kano, Nigeria",Military - Nigerian Air Force,British Aerospace BAe-125-700B,14,10,4,14,10,4,0,1996,1,968
"Asuncion, Paraguay",Lineas Aereas del Caribe,McDonnell Douglas DC-8-55F,4,1,3,4,1,3,24,1996,2,967
"St. Johns, Arizona",Business Air Connection,ConvairCV-440,4,2,2,4,2,2,0,1996,2,966
"Off Puerto Plata, Domincan Republic","Alas Nacionales, leased from Birgen Air",Boeing B-757-225,189,176,13,189,176,13,0,1996,2,965
"Port-au-Prince, Hati",Hati Express,GAF Nomad N-24A,15,13,2,11,9,2,0,1996,2,964
"Near Jabal Awliya, Sudan",Military - Sudanese Air Force,Lockheed C-130H,91,85,6,91,85,6,0,1996,2,963
"Near Lukapa, Angola",Aero Tropical,Antonov 12BP,8,3,5,8,3,5,0,1996,2,962
"Arequipa, Peru",Compania de Aviacion Faucett SA (Peru),Boeing B-737-222,123,117,6,123,117,6,0,1996,2,961
"Karabogazgol Bay, Turkmenistan",Akhal Air,Mil Mi-8T (helicopter),12,9,3,12,9,3,0,1996,3,960
"Near Dubrovnik, Croatia",Military - U.S. Air Force,Boeing B-737-T43,35,29,6,35,29,6,0,1996,4,959
"Near Petropavlovsk, Russia",Krasnoyarskie Avialinii,Ilyushin IL-76TD,20,11,9,20,11,9,0,1996,4,958
"Off Matsu Island, Taiwan",Formosa Airlines,Dornier 228-212,17,15,2,6,6,0,0,1996,4,957
"Cheyenne, Wyoming",Private,Cessna 177B,3,2,1,3,2,1,0,1996,4,956
"Near Haj Yousif, Sudan",Federal Airlines,Antonov AN-24,53,48,5,53,48,5,0,1996,5,955
"Near Terrace, British Columbia, Canada",Buffalo Narrows Airways,de Havilland Canada DHC-3 Otter,2,0,2,2,0,2,0,1996,5,954
"Otaez, Mexico",Aeroservicios Empresariales de Durango,de Havilland Canada DHC-6 Twin Otter 200,19,17,2,16,14,2,0,1996,5,953
"Everglades, Miami, Florida",ValuJet,McDonnell Douglas DC-9-32,110,105,5,110,105,5,0,1996,5,952
"Oumba, Papua New Guinea",Milne Bay Air,Britten Norman BN-2A-20 Trislander,10,9,1,1,1,0,0,1996,5,951
"Griesta, United Kingdom",Loganair,Britten-Norman BN-2A-26 Islander,3,2,1,3,2,1,0,1996,5,950
"Kinshasa, Democratic Republic Congo",Hoseba,Ilyushin 76MD,10,2,8,10,2,8,0,1996,6,949
"Rasht, Iran",Iran Air,Boeing 727-286,7,0,7,7,0,7,0,1996,6,948
"Fukuoka, Japan",Garuda Indonesia Airlines,McDonnell Douglas DC-10-30,275,260,15,3,3,0,0,1996,6,947
"Shanghai, China",China Flying Dragon Aviation (Feilong Airlines),Harbin Yunshuji Y-12-II,12,9,3,2,1,1,0,1996,6,946
"Pensacola, Florida",Delta Air Lines,McDonnell Douglas MD-88,142,137,5,2,2,0,0,1996,7,945
"Papua, New Guinea",Milne Bay Air,de Havilland Canada DHC-6 Twin Otter 300,20,19,1,20,19,1,0,1996,7,944
"Near Kanda, India",Archana Airlines,Let 410,9,6,3,9,6,3,0,1996,7,943
"Near Eindhoven, The Netherlands",Military - Belgian Air Force,Lockheed C-130H,41,37,4,34,30,4,0,1996,7,942
"Near Playa del Carmen, Mexico",Aerolatino (Aerocaribe),de Havilland Canada DHC-6 Twin Otter 300,18,16,2,1,1,0,0,1996,7,941
"Off East Moriches, New York",Trans World Airlines,Boeing B-747-131,230,212,18,230,212,18,0,1996,7,940
"Russian Mission, Alaska",Northern Air Cargo,Douglas DC-6A,4,1,3,4,1,3,0,1996,7,939
"Near Mergui, Manmar",Myanmar Airways,Fokker F-27 Friendship 600,49,44,5,8,8,0,0,1996,7,938
"Markham Bay, Canada",First Air,de Havilland Canada DHC-6 Twin Otter 300,2,0,2,2,0,2,0,1996,8,937
"Near Bronson Creek, British Columbia, Canada",Air North,Douglas DC-4,3,0,3,1,0,1,0,1996,8,936
"Near Jackson Hole, Wyoming",Military - U.S. Air Force,Lockheed C-130H Hercules,9,1,8,9,1,8,0,1996,8,935
"Near Alliford Bay, British Columbia, Canada2",Harbour Air,de Havilland Canada DHC-3 Turbo Otter,3,2,1,3,2,1,0,1996,8,934
"Belgrade, Yugosalvia",Spair Air Transport,Ilyushin IL-76T,12,2,10,12,2,10,0,1996,8,933
"Near Longyearbyen, Norway",Vnokovo Airlines,Tupolev TU-154M,141,129,12,141,129,12,0,1996,8,932
"Waddenzee, Netherlands",Dutch Dakota Association,Douglas DC-3C,32,26,6,32,26,6,0,1996,9,931
"Off Pasamayo, Peru",Aeroperu,Boeing B-757-200,70,61,9,70,61,9,0,1996,10,930
"Kahemba, Congo",Malu Aviation,de Havilland Canada DHC-6 Twin Otter 200,21,19,2,6,4,2,0,1996,10,929
"Lukapa, Angola",Savanair,Antonov 12B,19,13,6,6,5,1,0,1996,10,928
"San Francesco al Campo, Italy",Aeroflot,Antonov An-124,23,0,23,2,0,2,2,1996,10,927
"Manta, Ecuador",Million Air,Boeing B-707-323C,4,0,4,4,0,4,30,1996,10,926
"Khanty, Russia",Tyumen Aviatrans,Yakovlev YAK-40,34,30,4,5,3,2,0,1996,10,925
"Sao Paolo, Brazil",TAM (Brazil),Fokker 100,95,89,6,95,89,6,3,1996,10,924
"Near Tikal, Guatemala",Transported Areos Profesionales - TAPSA,Embraer 110P1 Bandeirante,16,14,2,16,14,2,0,1996,11,923
"Lagos, Nigeria",Aviation Development Corporation,Boeing B-727-231,143,134,9,143,134,9,0,1996,11,922
"Aubusson, France",Jetcom S.A.,Cessna 421C Golden Eagle,8,7,1,8,7,1,0,1996,11,921
"Near Charkhi Dadri, India",Saudi Arabian Airlines / Kazakhstan Airlines,Boeing B-747-168B / Ilyushin IL-76TD,349,316,33,349,316,33,0,1996,11,920
"Bolchaïa Pyssa, Russia",Komi Avia,Antonov AN-2,15,13,2,14,13,1,0,1996,11,919
"Quincy, Illinois",United Express  / Private,Beechcraft 1900-C / Beech King Air A90,14,10,4,14,10,4,0,1996,11,918
"Off Cape Mendocino, CA",Military - U.S. Air Force,Lockheed HC-130P Hercules,11,0,11,10,0,10,0,1996,11,917
"Off Mitsamiouli, Comoros",Ethiopian Airlines,Boeing B-767-260ER,175,163,12,127,117,10,0,1996,11,916
"Abakan, Siberia, Russia",Military - Russian Air Force,Ilyushin IL-76MD,23,19,4,23,19,4,0,1996,11,915
"Medellin, Colombia",ACES Colombia,de Havilland Canada DHC-6 Twin Otter 300,15,13,2,14,12,2,0,1996,11,914
"Banjarmasin, Indonesia",Dirgantara Air Services,CASA 212 Aviocar 100,17,15,2,16,14,2,2,1996,12,913
"Boise, Idaho",Emery Worldwide,Douglas C-47A,2,0,2,2,0,2,0,1996,12,912
"Tver, Russia",Military - Russian Air Force,Antonov AN-12,18,11,7,18,11,7,0,1996,12,911
"Rio Negro, Colombia",SELVA,Antonov An-32B,4,1,3,4,1,3,0,1996,12,910
"Narrows, Virginia",Airborne Express,McDonnell Douglas DC-8-63F,6,3,3,6,3,3,0,1996,12,909
"Dorchester, New Hampshire",Aircraft Charter Group Inc,Learjet 35A,2,0,2,2,0,2,0,1996,12,908
"Near Nellore, India",Military - Indian Air Force,Hindustan Aeronautics 748-2,22,17,5,22,17,5,0,1996,12,907
"Near Moamoa, Samoa",Polynesian Airlines,de Havilland Canada DHC-6 Twin Otter 300,5,3,2,3,2,1,0,1997,1,906
"Near Monroe, Michigan",Comair,Embraer 120RT Brasilia,29,26,3,29,26,3,0,1997,1,905
"Sparrevohn, Alaska",Southcentral Air,de Havilland Canada DHC-4A Caribou,2,0,2,1,0,1,0,1997,1,904
"Yola, Nigeria",Skypower Express Airways,Embraer 110P1A Bandeirante,16,13,3,5,2,3,0,1997,1,903
"Tambacoumba, Senegal",Air Senegal,Hawker Siddeley HS-748-353 Srs.2a,52,49,3,25,22,3,0,1997,2,902
"Near Quiangala, Angola",Force Area Populaire de Angola,CASA 212 Aviocar 200,37,33,4,37,33,4,0,1997,2,901
"Carajas, Brazil",Varig,Boeing B-737-2C3,52,46,6,1,0,1,0,1997,2,900
"Guatemala City, Guatemala",Transpolar,IAI 1124 Westwind,5,4,1,5,4,1,0,1997,2,899
"Lucapa, Angola",ALADA,Antonov AN-12B,16,12,4,16,12,4,0,1997,3,898
"Near Mashhad, Iran",Military - Iranian Air Force,Lockheed C-130HF,88,80,8,88,80,8,0,1997,3,897
"Cherkessk, Russia",Stavropol Airlines,Antonov AN-24RV,50,44,6,50,44,6,0,1997,3,896
"Griffin, Georgia",Custom Air Service,Aviation Traders ATL-98 Carvair,2,0,2,2,0,2,0,1997,4,895
"Near Wainwright, Alaska",Hageland Aviation Services,Cessna 208B Caravan I,5,4,1,5,4,1,0,1997,4,894
"Brazzaville, Democratic Republic Congo",TAAG Angola Airlines,Fokker F-27 Friendship 600,7,4,3,3,0,3,0,1997,4,893
"Gyandzha, Azerbaijan",Azerbaijan Airlines,Yakovlev 40,6,0,6,6,0,6,0,1997,4,892
"Tanjung Pandan, Indonesia",Merpati Nusantara Airlines,British Aerospace ATP,53,48,5,15,11,4,0,1997,4,891
"Huangtian, China",China Southern Airlines,Boeing B-737-31B,74,65,9,35,33,2,0,1997,5,890
"Near Irumu, Congo",Bazair,Vickers Viscount 781D,27,20,7,27,20,7,0,1997,6,889
"Mandalgobi, Mongolia",MIAT - Mongolian Airlines,Harbin Yunshuji Y-12 II,12,10,2,7,7,0,0,1997,6,888
"Madh Island, India",Elbee Airlines,Fokker F-27 Friendship 200,2,0,2,2,0,2,0,1997,7,887
"Near Saravena, Colombia",Military - Colombian Army,Mil Mi-17 (helicopter),29,25,4,25,21,4,0,1997,7,886
"Suzano, Brazil",TAM (Brazil),Fokker 100,60,55,5,1,1,0,0,1997,7,885
"Off Santiago de Cuba, Cuba",Cubana de Aviacion,Antonov AN-24,44,39,5,44,39,5,0,1997,7,884
"Bandung, Indonesia",Sempati Air,Fokker F-27 Friendship 600,50,45,5,30,25,5,0,1997,7,883
"Goroka,  New Guinea",Goroka Air Services,de Havilland Canada DHC-6 Twin Otter 300,4,3,1,2,1,1,0,1997,7,882
"Calabar , Nigeria",ADC Airlines,BAC One-Eleven 203AE,55,49,6,1,0,1,0,1997,7,881
"Florence, Italy",Air Littoral,Aerospatiale ATR-42-512,17,14,3,1,0,1,0,1997,7,880
"Agana, Guam",Korean Airlines,Boeing B-747-300,254,231,23,228,206,22,0,1997,8,879
"Miami, Florida",Fine Air,McDonnell Douglas DC-8-61F,4,1,3,4,1,3,1,1997,8,878
"Matsu Island, Taiwan",Formosa Airlines,Dornier DO-228-212,16,14,2,16,14,2,0,1997,8,877
"Puerto Inirida, Venezuela",SATENA,Pilatus PC-6 Turbo Porter / Cessna 206,12,10,2,12,10,2,0,1997,8,876
"Phnom Penh, Cambodia",Vietnam Airlines,Tupolev TU-134,66,60,6,65,59,6,0,1997,9,875
"Near Miri, Malaysia",Borneo Airways,Dornier 228-212,10,8,2,10,8,2,0,1997,9,874
"Near Uvira, Zaire",TMK Air Commuter,de Havilland Canada DHC-6 Twin Otter 300,22,21,1,22,21,1,0,1997,9,873
"Off Namibia, Africa",Military - Luftwaffe / Military - USAF,Tupolev TU-154M / C-141 Starlifter,33,23,10,33,23,10,0,1997,9,872
"Buah Nabar, Indonesia",Garuda Indonesia Airlines,Airbus A300-B4-200,234,222,12,234,222,12,0,1997,9,871
"Near Montrose, Colorado",Scenic Airlines,Cessna 208B Caravan I,9,8,1,9,8,1,0,1997,10,870
"Nuevo Berlin, Uruguay",Austral Lineas Aeras (Argentina),McDonnell Douglas DC-9-32,74,69,5,74,69,5,0,1997,10,869
"Taipei, Taiwan",Military - Republic of China Air Force,Lockheed C-130H Hercules,5,0,5,5,0,5,0,1997,10,868
"Monterey Bay, near Pacific Grove, California",Private,Rutan Long EZ (experimental aircraft),1,0,1,1,0,1,0,1997,10,867
"Jalal-Abad, Afghanistan",Ariana Afghan Airlines,Yakovlev YAK-40,26,20,6,2,2,0,0,1997,10,866
"Near Barrow, Alaska",Hageland Aviation Services,Cessna 208B Caravan I,8,7,1,8,7,1,0,1997,11,865
"Irkutsk-2, Russia",Military - Russian Air Force,Antonov AN-124-100,23,17,6,23,17,6,44,1997,12,864
"Little Grand Rapids, Canada",Sowind Air,Embraer 110P1 Bandeirante,17,15,2,4,3,1,0,1997,12,863
"La Veriente, Bolivia",STAP,Swearingen SA-226T Metro II,19,17,2,10,9,1,0,1997,12,862
"Sharjah, United Arab Emirates",Tajikistan Airlines,Tupolev TU-154,86,77,9,85,77,8,0,1997,12,861
"Fotina, Greece",Aerosweet Airlines (LVOV),Yakovlev YAK-42,70,62,8,70,62,8,0,1997,12,860
"Near Palembang, Indonesia",SilkAir,Boeing B-737-300,104,97,7,104,97,7,0,1997,12,859
"Tanagra, Greece",Military - Greek Air Force,Lockheed C-130H Hercules,5,0,5,5,0,5,0,1997,12,858
"Atlantic Ocean, off Angola",Renan Airways,Antonov An-72,5,0,5,5,0,5,0,1997,12,857
Over the Pacific Ocean,United Air Lines,Boeing B-747-122,393,374,19,1,1,0,0,1997,12,856
"Rio Sidra, Panama",Parsa,Britten Norman BN-2A Trislander,10,9,1,10,9,1,0,1997,12,855
"Brno, Czech Republic",Aeroservice International,Let 410UVP,2,0,2,2,0,2,0,1998,1,854
"Tor Kach, Pakistan",Military - Ariana Afghan Airlines,Antonov AN-12BP,51,45,6,51,45,6,0,1998,1,853
"Yangon (Rangoon), Myanmar",Myanmar Airways,Fokker F-27 Friendship 600,45,41,4,16,15,1,0,1998,1,852
"Cagyan de Oro, Philippines",Cebu Pacific Air,McDonnell Douglas DC-9-32,104,99,5,104,99,5,0,1998,2,851
"Near Cavalese, Trento, Italy",Military - U.S. Marine Corps,Grummand EA-6B,2,0,2,0,0,0,20,1998,2,850
"Terceira, Portugal",Air Luxor,Antonov 12BP,7,0,7,7,0,7,0,1998,2,849
"Near Navafria, Spain",Military - Spanish Air Force,CASA 212-S1 Aviocar 100,5,0,5,5,0,5,0,1998,2,848
"Near Nasir, Sudan",Military - Sudan Air Force,Antonov AN-32,57,50,7,27,24,3,0,1998,2,847
"Taipei, Taiwan",China Airlines (Taiwan),Airbus A300-622R,196,182,14,196,182,14,7,1998,2,846
"Mombasa, Kenya",Air Memphis,Boeing 707-336C,6,0,6,6,0,6,0,1998,3,845
"Off Hsinchu, Taiwan",Formosa Airlines,Saab340B,13,8,5,13,8,5,0,1998,3,844
"Near Charasyab, Afghanistan",Ariana Afghan Airlines,Boeing B-727-228,45,32,13,45,32,13,0,1998,3,843
"Bacolod, Philippines",Philippine Air Lines,Airbus A.320-214,127,121,6,0,0,0,3,1998,3,842
"Piura, Peru",Fuerza Aérea del Peru,Antonov AN-32,55,50,5,22,22,0,1,1998,3,841
"Near Mexico City, Mexico",Linea Aérea Mexicana de Carga,Convair CV-240-53,4,0,4,2,0,2,0,1998,3,840
"Near Bogota, Colombia",Air France,Boeing B-727-230,53,43,10,53,43,10,0,1998,4,839
"Andoas, Peru",Fuerza Aérea del Peru,Boeing B-737-282,88,81,7,75,69,6,0,1998,5,838
"Near Nema, Mauritania",Military - Mauritanian Air Force,Xian Yunshuji Y-7-100C,42,35,7,39,32,7,0,1998,5,837
"Near Longtiang, Laos",Military - Lao People's Liberation Army Air Force,Yakovlev YAK-40,26,20,6,26,20,6,0,1998,5,836
"Indian Trail, North Carolina",Air Taxi - US Helicopters Inc.,Bell 206L-3,5,4,1,5,4,1,0,1998,5,835
"Near Erdenet, Mongolia",MIAT - Mongolian Airlines,Harbin Yunshuji Y-12 II,28,26,2,28,26,2,0,1998,5,834
"Montreal, Canada",Propair,Swearingen SA-226TC Metroliner II,11,9,2,11,9,2,0,1998,6,833
"Mt. Waialeale, Hawaii",Air Taxi - Ohana Helicopter Tours,Eurocopter AS-350-BA,6,4,2,6,4,2,0,1998,6,832
"Off Rasal, United Arab Emirates",ATI Aircompany,Ilyushin 76MD,8,0,8,8,0,8,0,1998,7,831
"Córdoba, Argentina",Alas del Sur,Rockwell Sabreliner 60,3,1,2,3,1,2,0,1998,7,830
"Asmara, Eritrea",Ukraine Aviation Transport Company,Ilyushin II-76,10,1,9,10,1,9,0,1998,7,829
"Pico de Orizaba, Mexico",Military - Mexican Air Force,Shorts SC-7 Skyvan 3-100,4,0,4,4,0,4,0,1998,7,828
"Southhampton, England",Plane Sailing,Consolidated PBY-5A Catalina,18,14,4,4,2,2,0,1998,7,827
"Barcelona, Spain",Swifair,Swearingen SA.227AC Metro III,2,0,2,2,0,2,0,1998,7,826
"Manacapuru River, Brazil",Selva Taxi Aero,Embraer 110 Bandeirante,24,22,2,5,4,1,0,1998,7,825
"Near Quiberon, France",Proteus Air / Private,Beechcraft 1900D / Cessna 177,15,12,3,15,12,3,0,1998,7,824
"Kochi, India",Alliance Airlines,Dornier 228-201,6,3,3,6,3,3,2,1998,7,823
"Kincolith, British Columbia, Canada",Harbour Air Seaplanes Ltd.,de Havilland Dash-2 Beaver,5,4,1,5,4,1,0,1998,8,822
"Saurimo, Angola",Alada,Antonov An-12BP,13,6,7,1,0,1,0,1998,8,821
"Foveaux Strait, New Zealand",Vincent Aviation,Cessna 402C,10,9,1,5,4,1,0,1998,8,820
"Near Ghorepani, Nepal",Lumbini Airways,de Havilland Canada DHC-6 Twin Otter 300,18,15,3,18,15,3,0,1998,8,819
"Pretoria, South Africa",Speed Service Couriers,DC-3-65TP,2,0,2,1,0,1,0,1998,8,818
"Manibagi, Myanmar",Myanmar Airways,Fokker F-27 Friendship 600,44,40,4,44,40,4,0,1998,8,817
"Quito, Ecuador",Cubana de Aviacion,Tupolev TU-154M,91,77,14,70,56,14,10,1998,8,816
"Off Peggy's Cove, Nova Scotia, Canada",Swissair,McDonnell Douglas MD-11,229,215,14,229,215,14,0,1998,9,815
Angola,Permaviatrans,Antonov AN-26,24,20,4,24,20,4,0,1998,9,814
"Port Alsworth, Alaska",Rusts Flying Service Inc.,de Havilland Dash-2 float plane,5,4,1,5,4,1,0,1998,9,813
"Islamabad, Pakistan",Military - Pakistan Air Force,Lockheed C-130B Hercules,5,0,5,5,0,5,0,1998,9,812
"Near Nador, Morroco",Paukn Air,British Aerospace BAe-146-100,38,34,4,38,34,4,0,1998,9,811
"Praia, Cape Verde",Cabo Verde Airlines,de Havilland Canada DHC-6 Twin Otter 300,22,20,2,1,1,0,0,1998,9,810
"Off Mannar, Sri Lanka",Lionair,Antonov AN-24RV,55,48,7,55,48,7,0,1998,9,809
"Near Canaima, Venezuela",Servivensa,Douglas DC-3C,27,24,3,1,0,1,0,1998,10,808
"Near Kindu, Congo",Congo Airline,Boeing B-727-30,41,38,3,41,38,3,0,1998,10,807
"Yerevan, Armenia",Ararat Avia,Yakovlev YAK-40,37,33,4,0,0,0,4,1998,10,806
"Rwenzori mountains, Uganda",TanaMana Aviation,Britten-Norman BN-2A-3 Islander,11,10,1,4,3,1,0,1998,10,805
"Near Quetzaltenango, Guatemala",Living Water Teaching Ministries Charter,Douglas DC-3C,18,16,2,11,9,2,0,1998,11,804
"Near Krasnoyarsk, Russia",Sakha Airlines,Antonov AN-12,13,7,6,13,7,6,0,1998,11,803
"Edgewater, Maryland",Private,Burgess RV-6 experimental,1,0,1,1,0,1,0,1998,11,802
"Baie-Comeau, Canada",Air Satellite,Britten-Norman Trislander,10,8,2,7,6,1,0,1998,12,801
"Near Surat Thani, Thailand",Thai Airways,Airbus A-310-204,146,132,14,102,91,11,0,1998,12,800
"Near Cuito, Angola",Khors Aircompany,Antonov AN-12BP,11,6,5,11,6,5,0,1998,12,799
"Medellín, Colombia",SELVA,Antonov 32B,5,2,3,5,2,3,0,1998,12,798
"Vila Nova, Angola",Transafrik,Lockheed Martin L-100-30 Hercules,14,10,4,14,10,4,0,1998,12,797
"Near Huambo, Angola",Transafrik - United Nations Charter,Lockheed L-100-30 Hercules,9,5,4,9,5,4,0,1999,1,796
"Guernsey, Channel Islands, England",Channel Express,Fokker F-27 Friendship 600,2,0,2,2,0,2,0,1999,1,795
"Geilenkirchen, Germany",Military - German Air National Guard,Boeing KC-135E,4,0,4,4,0,4,0,1999,1,794
"Mayne Island, British Columbia, Canada",Kelowna Flightcraft Air Charter,Douglas DC-3C,2,0,2,2,0,2,0,1999,1,793
"Coconut Island, QLD, Australia",Uzu Air,Britten Norman BN-2A-26,4,3,1,3,2,1,0,1999,1,792
"Bluefields, Nicaragua",Fuerza Aérea Nicaragua,Antonov AN-26,28,21,7,28,21,7,0,1999,1,791
"Luanda, Angola",Savannair,Antonov AN-12,14,10,4,14,10,4,13,1999,2,790
"Hoskins, Papua New Guinea",Airlink,Britten Norman BN-2A Trislander,11,10,1,11,10,1,0,1999,2,789
"Kinshasa,  Democratic Republic Congo",Air Karibu,Lockheed L-188A Electra,7,0,7,7,0,7,0,1999,2,788
"Rui'an, China",China Southwest Airlines,Tupolev TU-154,61,50,11,61,50,11,0,1999,2,787
"Genoa, Italy",Minerva Airlines,Dornier 328-110,31,27,4,4,3,1,0,1999,2,786
"New Delhi, India",Military - Indian Air Force,Antonov AN-32 Transport,19,15,4,19,15,4,3,1999,3,785
"Near Tame, Colombia",ALIANSA Colombia,Douglas DC-3C (C-47A-DK),8,5,3,8,5,3,8,1999,3,784
"Davis Inlet, Newfoundland, Canada",Provincial Airlines,de Havilland Canada DHC-6 Twin Otter 300,2,0,2,1,0,1,0,1999,3,783
"Ribeirao Preto, Brazil",Manacá Táxi Aéreo,Learjet 24D,5,0,5,5,0,5,0,1999,4,782
"Near Ceyhan, Turkey",Turkish Airlines (THY),Boeing 737-4Q8,6,0,6,6,0,6,0,1999,4,781
"Near Malaga, Colombia",Aerotaca,de Havilland Canada DHC-6 Twin Otter 300,5,3,2,5,3,2,0,1999,4,780
"Shanghi, China",Korean Air,McDonnell Douglas MD-11,3,0,3,3,0,3,0,1999,4,779
"Off Port Vila, Vanuatu",Vanair,de Havilland Canada DHC-6 Twin Otter 300,12,11,1,7,6,1,0,1999,5,778
"Kuching, Malaysia",Military - Malaysian Air Force,de Havilland Canada DHC-4A,5,0,5,5,0,5,0,1999,5,777
"Ol Kiombo, Kenya",Malindi Air Services,Let 410UVP-E,2,0,2,2,0,2,0,1999,5,776
"Little Rock, Arkansas",American Airlines,McDonnell Douglas MD-82,145,139,6,11,10,1,0,1999,6,775
"Near Khartoum, Sudan",Military - Sudan Air Force,Antonov 32,50,44,6,50,44,6,0,1999,6,774
"Coron, Philippines",Pacific Airways,Britten-Norman BN-2A-21 Islander,1,0,1,1,0,1,0,1999,6,773
"Juneau, Alaska",Air Taxi - Coastal Helicopters Inc.,Eurocopter AS-350BA,7,6,1,7,6,1,0,1999,6,772
